code,level,type,description
HR13D,4,Loom basics,Single longitudinal rocker (subset of HR13C)
HR13E,4,Loom basics,"Two separate rockers, side-by-side (subset of HR13C)"
HR13EE,4,Loom basics,Double longitudinal rocker (H-shaped) (subset of HR13C)
HR13F,4,Loom basics,Rocker is in a bracket below the level of the top of the loom (subset of HR13C)
HR13G,3,Loom basics,Rocker for heddles is the same as that for the reed
HR13H,3,Loom basics,Heddle cords pass over pulleys (generally linking pairs together)
HR13J,3,Loom basics,Heddles are linked by cords to short bars (heddle horses) just above (generally in pairs)
HR14,2,Loom basics,"Short rocker bars system for raising and lowering heddle: short bars (sometimes carved into fish shapes) at the ends, attached to H-frame pillars, that support the heddle on one side and a warp depression bar on the other."
HR14A,1,Loom basics,Heddle system incorporates active warp depression bar (so that it is pushed down as the heddle is raised)
HR15,3,Loom basics,Footrest between treadles
RR06,1,Loom basics,Shed stick or other shed holder (inserted into warp) creates a permanent opening in the natural shed for ground weft insertion
RR06A,2,Loom basics,Shed stick is cylindrical (not including types fixed to frame)
RR08,2,Loom basics,Shed stick is a frame rather than a simple stick
RR08A,3,Loom basics,shed stick is a square section frame
RR08C,3,Loom basics,shed stick is an I-section frame
RR08D,2,Loom basics,shed opening is created by two rods attached to the loom frame by cords
RR13,2,Loom basics,Shed opener is fixed into horizontal loom frame
RR14,2,Loom basics,"Shed stick is attached to a cord or bar, to pull it down to assist in opening natural shed"
RR15,3,Loom basics,Shed stick cord is attached to a foot treadle
RR20,2,Loom basics,"Warp depression stick: placed on top of warp, just behind shed stick (used with shed stick when raising heddle shed)"
RR20A,3,Loom basics,warp depression stick is attached to the frame via cords
RR20B,3,Loom basics,warp depression stick is fixed into holes in the loom frame
RR20E,4,Loom basics,Weaver's feet rest on a bar in the frame that the warp depression stick is tethered to
FS01,1,Loom basics,Sword beater-shed-opening/widening tool (sometimes referred to as a 'batten'). May be combined with shuttle.
FS04,2,Loom basics,simple sword beater: flat stick
FS05,3,Loom basics,sword beater symmetric
FS06,3,Loom basics,"sword beater asymmetric: point at one end, cut off flat at the other end"
FS10,3,Loom basics,two-handled beater (symmetrical)
TP01,1,Loom basics,Temple/ tenter: tensioning strip inserted near the leading edge of the web  to help maintain constant web width and straight selvedges
TP02,2,Loom basics,Temple type A: simple rod with needles or points at each end (width is not adjustable)
TP02A,3,Loom basics,temple is strongly bow-shaped
TP04,2,Loom basics,Temple is below the web (leave blank if above the web)
SP01,1,Loom basics,Coil rod
SP04,1,Loom basics,Reed/ reed beater
SP04C,2,Loom basics,Reed is not used for beating (includes types where sword is applied behind beater)
SP04D,2,Loom basics,"Reed is used for tamping-in weft lightly, prior to beating-in with another implement"
SP04A,2,Loom basics,Reed is the main beating implement
SP05,2,Loom basics,Reed beater with frame around it
SP06,2,Loom basics,"Reed beater is suspended, via cords or bars"
SP07,3,Loom basics,"Reed beater is set into a rigid swinging bar, suspended overhead"
SP11,2,Loom basics,"Reed-beater is supported by two bamboo rods, attached at the back of the frame, bent over and meeting at a point just above the heddle. Two cords extend from the meeting point to the reed-beater."
MC01,1,Loom basics,Additional sticks added near warp beam to maintain tension in the warp selectively
YS02,1,Loom basics,"Yarn inserted by hand as a small ball or butterfly, without use of shuttle"
YS03,1,Loom basics,Yarn inserted with a hook (usually used for discontinuous supplementary weft)
YS05,1,Loom basics,"Yarn wound on stick (pirn). Includes types that are used with no other support, and types embedded in eg boat-shaped shuttles."
YS06,2,Loom basics,Thread wound on stick in circular fashion
YS07,2,Loom basics,Thread wound lengthways on a long stick
YS08,1,Loom basics,H-shaped shuttle: thread wound lengthways on elongated H-shaped shuttle
YS10,2,Loom basics,"Boat-shaped shuttle, stick in the center on which the yarn is wound"
YS10A,1,Loom basics,"Hainan-type shuttle: square section rod with small cut-out at center, with a pair of metal discs inset"
YS11,2,Loom basics,"Beater shuttle (combines yarn insertion and beating), with two handles   [beater function must also be listed in sword-beater section]"
FM01,1,"Patterning features, simple","Warps raised with fingers, no stick used"
FM02,1,"Patterning features, simple",Pickup stick: pointed stick(s) similar to sword used for opening up pattern sheds
FM03,2,"Patterning features, simple",Warp patterning inserted using pickup stick
FM04,2,"Patterning features, simple",Supplementary weft inserted using pickup stick
FM05,3,"Patterning features, simple",continuous
FM06,3,"Patterning features, simple",discontinuous
HP01,2,"Patterning features, simple","Extra simple heddles for supplementary weft, or warp patterning or twills (one or more). Not including compound patterning heddles (many rods in one heddle)"
HP02,3,"Patterning features, simple",plus one (or more) simple heddles
HP03,3,"Patterning features, simple",plus two (or more) simple heddles
HP04,3,"Patterning features, simple",plus 3 (or more) individual heddles for complex warp or weft patterning
HP06,3,"Patterning features, simple",extra heddles are used for twills
HP07,3,"Patterning features, simple",extra heddles are used for warp patterning
HP08,3,"Patterning features, simple",extra heddles are used for weft patterning
HP19,3,"Patterning features, simple",plus 1 heddle for twills
HP20,3,"Patterning features, simple",plus 2 heddles for twills
HP22,3,"Patterning features, simple",additional heddles are located behind main heddles
HP24,3,"Patterning features, simple",used for warp patterning
HP25,3,"Patterning features, simple",used for supplementary weft patterning
RP01,2,"Patterning features, simple","Sticks that remain in the warp permanently, to assist with lifting subsets of the warp (for warp or for weft patterning)"
RP06,4,"Patterning features, simple",above types associated with warp patterning
RT01,2,"Patterning features, simple","Set of pattern rods inserted by the weaver behind the main heddle, to mark out and save pattern sheds on a temporary basis (usually inserted in sequence and then removed in reverse order)"
RT02,3,"Patterning features, simple","pattern rods are inserted as weaving progresses, then removed in reverse order to make symmetrical design"
RT03,3,"Patterning features, simple",batten used with pattern rods to transfer shed opening forwards
RT07,4,"Patterning features, simple",temporary pattern rods are used for weft patterning
RW01,2,"Patterning features, simple",Pattern warp is separated from main warp in some way
RW02,3,"Patterning features, simple","Pattern warp is held below main warp and tensioned with bars/weights system, tied off in separate bunch above weaver's head"
MH01,2,"Patterning features, simple",Set of individual heddles for pattern sheds: pattern is recorded via the order of the heddles (either loose in warp or suspended in some way)
PS01,2,Complex patterning systems,Loom-integrated pattern recording system: (a heddle system that includes a set of sticks or cords embedded in a set of leashes connected to warps (the simple)  that directly define a sequence of pattern sheds and forms an integral part of the loom. Also called drawlooms.
PS02,2,Complex patterning systems,"Stick resting on the warp between the pattern sheds, used to help separate the two sets of sheds"
PS03,2,Complex patterning systems,"Batten, not used for beating-in weft, but for holding shed open and for bringing shed opening forward to weft insertion point"
PS04,2,Complex patterning systems,Helper-rod(s) inserted into pattern shed to widen it before weft insertion
PS05,2,Complex patterning systems,Flat heddle system that extends above and below the warp: strings or sticks are transferred from above to below or vice versa
PS05A,3,Complex patterning systems,Pattern is saved on sticks
PS05B,3,Complex patterning systems,Pattern is saved on strings
PS06,2,Complex patterning systems,Heddle strings are tied to one or more rods at the top
PS07,2,Complex patterning systems,Pattern system is held in fixed position by being attached to the loom frame
PS08,2,Complex patterning systems,"Pattern sticks or strings are linked to a cord alongside, either by being tied to it in bunches or secured to rings (helps keep the strings in sequence)"
PS08A,3,Complex patterning systems,Cord alongside is attached to a hook on the bar that supports the pattern heddle
PS09,2,Complex patterning systems,Pattern sticks are enveloped by two cords which keep the group of sticks together (may or may not support them)
PS10,2,Complex patterning systems,Pattern sticks or strings are held in place by being tied to a vertical wooden frame
PS11,2,Complex patterning systems,Pattern sticks are all above the warp  (not paggia systems as these do not connect directly with the warp)
PS12,2,Complex patterning systems,"Pattern sticks in a circular arrangement  (may or may not have central divider, marking the point where the pattern stick usage reverses)"
PS13,3,Complex patterning systems,Circular heddle moves in one direction only while making patterns (left blank used in reversing fashion)
PS14,2,Complex patterning systems,Both front and back sheds are used for inserting patterning wefts
PS15,2,Complex patterning systems,Pattern heddle is divided into two parts
PS15A,3,Complex patterning systems,"Two parts of pattern system consist of separate sets of leashes (but may overlap at warp, with warp passing through an ""eye"" formed by the overlap) (V, VB systems)"
PS16,2,Complex patterning systems,Treadle for raising pattern heddle linked to V-shaped rocker bar at the back of the loom
PS16A,3,Complex patterning systems,  (subset PS16) treadle bar
PS16B,3,Complex patterning systems, (subset PS16) foot loop
PS16C,3,Complex patterning systems, (subsetPS16) with counterweight
PS17,2,Complex patterning systems,Spacer rod hung in center of pattern sticks (does not support the heddle and sticks)
PS18,2,Complex patterning systems,Pattern heddle is supported by a drum or tube (but not attached to it)
PS18A,3,Complex patterning systems,"Drum or tube rests on a rod that passes through the center of the drum (in weft direction), which is in turn supported by cords"
PS18B,3,Complex patterning systems,Drum or tube supported by cords that penetrate the drum
PS18C,3,Complex patterning systems,Drum in the center is large and made of (eg) basketwork: pattern sticks are held tightly against this drum
PS19,2,Complex patterning systems,"Pattern system is located behind ground weave heddles (ie further from weaver, if blank, pattern system is located in front)."
PS20,2,Complex patterning systems,"Weaver does not use pattern lifts directly, but uses them to insert a set of pattern sticks in the warp, which are then used for pattern lifts, removing each stick as each pattern weft is inserted"
